department_tag	department_role	nct_id	medai_status	overall_status	payload_relpath	copied_xml_relpath
五官科	primary	NCT00135629	manual_review	Unknown status	五官科/treatment_trials.json	xml/NCT00135629.xml
五官科	primary	NCT00403325	trial_matched	Completed	五官科/treatment_trials.json	xml/NCT00403325.xml
五官科	primary	NCT00803803	trial_matched	Completed	五官科/treatment_trials.json	xml/NCT00803803.xml
传染科	primary	NCT00001142	trial_matched	Completed	传染科/treatment_trials.json	xml/NCT00001142.xml
传染科	primary	NCT00068809	trial_matched	Completed	传染科/treatment_trials.json	xml/NCT00068809.xml
传染科	primary	NCT00201448	abandoned	Terminated	传染科/treatment_trials.json	xml/NCT00201448.xml
传染科	primary	NCT00717730	trial_matched	Completed	传染科/treatment_trials.json	xml/NCT00717730.xml
传染科	primary	NCT00966160	trial_matched	Completed	传染科/treatment_trials.json	xml/NCT00966160.xml
儿科	primary	NCT00146185	trial_matched	Completed	儿科/treatment_trials.json	xml/NCT00146185.xml
儿科	primary	NCT00462085	trial_matched	Completed	儿科/treatment_trials.json	xml/NCT00462085.xml
儿科	primary	NCT00984230	trial_matched	Completed	儿科/treatment_trials.json	xml/NCT00984230.xml
儿科	secondary	NCT00001142	trial_matched	Completed	儿科/treatment_trials.json	xml/NCT00001142.xml
儿科	secondary	NCT00068809	trial_matched	Completed	儿科/treatment_trials.json	xml/NCT00068809.xml
儿科	secondary	NCT00116675	trial_matched	Completed	儿科/treatment_trials.json	xml/NCT00116675.xml
儿科	secondary	NCT00717730	trial_matched	Completed	儿科/treatment_trials.json	xml/NCT00717730.xml
内科	primary	NCT00276250	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00276250.xml
内科	primary	NCT00365586	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00365586.xml
内科	primary	NCT00408824	manual_review	Unknown status	内科/treatment_trials.json	xml/NCT00408824.xml
内科	primary	NCT00490178	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00490178.xml
内科	primary	NCT00529087	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00529087.xml
内科	primary	NCT00593489	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00593489.xml
内科	primary	NCT00628615	manual_review	Unknown status	内科/treatment_trials.json	xml/NCT00628615.xml
内科	primary	NCT00704795	manual_review	Unknown status	内科/treatment_trials.json	xml/NCT00704795.xml
内科	primary	NCT00731874	abandoned	Terminated	内科/treatment_trials.json	xml/NCT00731874.xml
内科	primary	NCT00889707	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00889707.xml
内科	secondary	NCT00001142	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00001142.xml
内科	secondary	NCT00044720	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00044720.xml
内科	secondary	NCT00209586	abandoned	Terminated	内科/treatment_trials.json	xml/NCT00209586.xml
内科	secondary	NCT00311896	abandoned	Terminated	内科/treatment_trials.json	xml/NCT00311896.xml
内科	secondary	NCT00332631	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00332631.xml
内科	secondary	NCT00564382	trial_matched	Completed	内科/treatment_trials.json	xml/NCT00564382.xml
医学影像科	primary	NCT00310479	trial_matched	Completed	医学影像科/treatment_trials.json	xml/NCT00310479.xml
医学影像科	primary	NCT00564382	trial_matched	Completed	医学影像科/treatment_trials.json	xml/NCT00564382.xml
医学影像科	primary	NCT00951678	manual_review	Unknown status	医学影像科/treatment_trials.json	xml/NCT00951678.xml
医学影像科	secondary	NCT00740454	trial_matched	Completed	医学影像科/treatment_trials.json	xml/NCT00740454.xml
医学影像科	secondary	NCT00951197	trial_matched	Completed	医学影像科/treatment_trials.json	xml/NCT00951197.xml
